                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     39,                 0.8184,                0.47692,                 1.0242,                0.99304,                0.99129,                0.99486,                0.78483,                      0,                    inf,                      0,               0.006238,               0.006238,               0.006238
                     40,                0.81668,                0.47142,                 1.0297,                0.99743,                0.99306,                  0.995,                0.78796,                      0,                    inf,                      0,               0.006139,               0.006139,               0.006139
                     41,                0.82456,                0.47181,                 1.0282,                0.99881,                0.99306,                  0.995,                0.77503,                      0,                    inf,                      0,                0.00604,                0.00604,                0.00604
                     42,                0.81267,                0.46425,                 1.0277,                0.99234,                0.99306,                0.99479,                0.77292,                      0,                    inf,                      0,               0.005941,               0.005941,               0.005941
                     43,                0.83695,                0.47779,                 1.0358,                0.99223,                0.99306,                0.99479,                0.77368,                      0,                    inf,                      0,               0.005842,               0.005842,               0.005842
                     44,                0.82174,                0.46755,                 1.0344,                0.98609,                 0.9848,                0.99426,                0.76807,                      0,                    inf,                      0,               0.005743,               0.005743,               0.005743
                     45,                0.79999,                0.44929,                 1.0217,                0.99226,                      1,                  0.995,                0.75919,                      0,                    inf,                      0,               0.005644,               0.005644,               0.005644
                     46,                0.77862,                 0.4471,                 1.0207,                0.99185,                      1,                0.99486,                0.78071,                      0,                    inf,                      0,               0.005545,               0.005545,               0.005545
                     47,                0.79767,                0.44397,                 1.0235,                0.99808,                0.99306,                  0.995,                0.78894,                      0,                    inf,                      0,               0.005446,               0.005446,               0.005446
                     48,                 0.8074,                0.46274,                 1.0311,                0.99711,                0.99306,                  0.995,                0.76839,                      0,                    inf,                      0,               0.005347,               0.005347,               0.005347
                     49,                0.76858,                0.43447,                 1.0046,                0.98616,                0.99306,                0.99458,                0.79402,                      0,                    inf,                      0,               0.005248,               0.005248,               0.005248
                     50,                0.78919,                0.45787,                 1.0016,                0.98629,                0.99881,                 0.9943,                0.77585,                      0,                    inf,                      0,               0.005149,               0.005149,               0.005149
                     51,                0.78346,                0.45571,                 1.0034,                0.99125,                      1,                0.99328,                0.78196,                      0,                    inf,                      0,                0.00505,                0.00505,                0.00505
                     52,                0.80012,                0.45452,                 1.0189,                0.99083,                0.99306,                0.99486,                0.78746,                      0,                    inf,                      0,               0.004951,               0.004951,               0.004951
                     53,                0.77228,                0.43418,                0.99537,                0.99109,                0.97917,                0.99459,                0.76646,                      0,                    inf,                      0,               0.004852,               0.004852,               0.004852
                     54,                0.77329,                0.42984,                 1.0075,                0.99211,                      1,                0.99493,                0.76805,                      0,                    inf,                      0,               0.004753,               0.004753,               0.004753
                     55,                0.77198,                0.43319,                 1.0038,                0.99309,                0.99803,                0.99486,                0.76274,                      0,                    inf,                      0,               0.004654,               0.004654,               0.004654
                     56,                 0.7581,                0.41705,                 1.0022,                0.98976,                      1,                0.99486,                0.77083,                      0,                    inf,                      0,               0.004555,               0.004555,               0.004555
                     57,                0.73869,                0.41769,                0.99301,                0.99266,                      1,                  0.995,                0.76966,                      0,                    inf,                      0,               0.004456,               0.004456,               0.004456
                     58,                0.75839,                0.42364,                 1.0029,                0.98619,                0.99216,                0.99451,                0.77842,                      0,                    inf,                      0,               0.004357,               0.004357,               0.004357
                     59,                0.75347,                0.42848,                0.99861,                0.98619,                0.99215,                0.99395,                0.77916,                      0,                    inf,                      0,               0.004258,               0.004258,               0.004258
                     60,                0.73979,                0.41386,                0.99929,                 0.9921,                0.99306,                0.99424,                0.79827,                      0,                    inf,                      0,               0.004159,               0.004159,               0.004159
                     61,                0.74627,                0.41335,                0.99524,                0.99545,                0.99306,                  0.995,                0.76866,                      0,                    inf,                      0,                0.00406,                0.00406,                0.00406
                     62,                0.74282,                0.41385,                0.99979,                0.99545,                      1,                  0.995,                0.76415,                      0,                    inf,                      0,               0.003961,               0.003961,               0.003961
                     63,                0.74021,                0.42123,                 1.0005,                0.99863,                0.99306,                  0.995,                0.77793,                      0,                    inf,                      0,               0.003862,               0.003862,               0.003862
                     64,                0.73531,                0.41491,                0.99303,                0.98629,                0.99936,                0.99486,                0.78626,                      0,                    inf,                      0,               0.003763,               0.003763,               0.003763
                     65,                 0.7211,                0.39339,                0.97724,                0.98629,                0.99925,                0.99473,                0.79158,                      0,                    inf,                      0,               0.003664,               0.003664,               0.003664
                     66,                0.68314,                0.38013,                0.96057,                 0.9863,                0.99996,                0.99493,                0.79024,                      0,                    inf,                      0,               0.003565,               0.003565,               0.003565
                     67,                0.70813,                 0.3979,                0.96664,                  0.986,                0.99306,                0.99486,                0.78419,                      0,                    inf,                      0,               0.003466,               0.003466,               0.003466
                     68,                 0.7172,                0.39784,                0.98586,                0.98574,                      1,                0.99466,                0.79025,                      0,                    inf,                      0,               0.003367,               0.003367,               0.003367
                     69,                0.68835,                0.39651,                0.98202,                0.98497,                      1,                0.99493,                0.77161,                      0,                    inf,                      0,               0.003268,               0.003268,               0.003268
                     70,                0.68717,                0.39665,                0.97346,                0.99142,                0.99306,                  0.995,                0.75604,                      0,                    inf,                      0,               0.003169,               0.003169,               0.003169
                     71,                 0.7155,                0.39069,                 0.9747,                0.99215,                      1,                  0.995,                  0.763,                      0,                    inf,                      0,                0.00307,                0.00307,                0.00307
                     72,                0.70207,                0.38897,                0.97604,                0.99245,                      1,                0.99493,                0.75824,                      0,                    inf,                      0,               0.002971,               0.002971,               0.002971
                     73,                0.68959,                0.38074,                0.96568,                0.99917,                      1,                  0.995,                0.78003,                      0,                    inf,                      0,               0.002872,               0.002872,               0.002872
                     74,                0.66833,                0.36642,                0.96609,                      1,                0.99937,                  0.995,                0.78244,                      0,                    inf,                      0,               0.002773,               0.002773,               0.002773
                     75,                 0.6958,                0.37359,                0.97933,                0.99254,                      1,                  0.995,                0.78042,                      0,                    inf,                      0,               0.002674,               0.002674,               0.002674
                     76,                0.67992,                0.36883,                0.96097,                0.99201,                      1,                  0.995,                0.79169,                      0,                    inf,                      0,               0.002575,               0.002575,               0.002575
                     77,                0.66175,                0.36819,                0.95302,                0.99533,                      1,                  0.995,                0.78742,                      0,                    inf,                      0,               0.002476,               0.002476,               0.002476
                     78,                0.64671,                0.36474,                0.95949,                0.99784,                      1,                  0.995,                0.78719,                      0,                    inf,                      0,               0.002377,               0.002377,               0.002377
                     79,                0.64172,                 0.3447,                0.95291,                0.99762,                      1,                  0.995,                0.78863,                      0,                    inf,                      0,               0.002278,               0.002278,               0.002278
                     80,                0.65763,                 0.3557,                0.96233,                0.99821,                      1,                  0.995,                0.78731,                      0,                    inf,                      0,               0.002179,               0.002179,               0.002179
                     81,                0.64927,                0.35058,                0.96294,                0.99806,                      1,                  0.995,                0.79453,                      0,                    inf,                      0,                0.00208,                0.00208,                0.00208
                     82,                0.65979,                0.35773,                0.95967,                0.99828,                      1,                  0.995,                0.77452,                      0,                    inf,                      0,               0.001981,               0.001981,               0.001981
                     83,                0.65708,                 0.3538,                0.95362,                0.99905,                      1,                  0.995,                 0.7811,                      0,                    inf,                      0,               0.001882,               0.001882,               0.001882
